Date,XLF
2005-01-04,-0.009532700076814615
2005-01-05,-0.0016601731249268337
2005-01-06,0.004986830003382847
2005-01-07,-0.005292747910438211
2005-01-10,0.0009982832611870052
2005-01-11,-0.004319629538941161
2005-01-12,-0.0013342464176233637
2005-01-13,-0.009689482839683072
2005-01-14,0.0033739654289355325
2005-01-18,0.01580386108188314
2005-01-19,-0.009930734950057252
2005-01-20,-0.007354996484945309
2005-01-21,-0.0050529975467141774
2005-01-24,0.00033881257781320784
2005-01-25,0.0006766658243313461
2005-01-26,0.004734430238020337
2005-01-27,-0.005048510988990729
2005-01-28,-0.0013532385494848809
2005-01-31,0.011856243255991883
2005-02-01,0.010713134592895024
2005-02-02,0.0
2005-02-03,-0.004636665091922509
2005-02-04,0.011979409599184976
2005-02-07,0.0009862353738658847
2005-02-08,-0.0039414089294125265
2005-02-09,-0.002639346944194876
2005-02-10,0.0029761720809646786
2005-02-11,0.007913303733796173
2005-02-14,-0.0016355144857083115
2005-02-15,0.002293589056441503
2005-02-16,-0.006865021630840129
2005-02-17,-0.008887249324399438
2005-02-18,-0.010627560510078071
2005-02-22,-0.0147698482353813
2005-02-23,0.009198641023009602
2005-02-24,0.0013506796659397136
2005-02-25,0.010114464165470016
2005-02-28,-0.009679003375899886
2005-03-01,0.009773602103655854
2005-03-02,-0.0030040458250907287
2005-03-03,-0.001674083337991239
2005-03-04,0.012742837702194532
2005-03-07,0.0
2005-03-08,-0.0016544819071019345
2005-03-09,-0.0122725281275613
2005-03-10,0.005708203254207511
2005-03-11,-0.008680314072349482
2005-03-14,0.005388766409893497
2005-03-15,-0.006700215306866597
2005-03-16,-0.010117752839717609
2005-03-17,-0.002726391865144784
2005-03-18,-0.00498041854451603
2005-03-21,-0.00897425430883858
2005-03-22,-0.01846079184001881
2005-03-23,0.0021290246946819025
2005-03-24,-0.004957170349501161
2005-03-28,0.007117079106761848
2005-03-29,-0.0035329499427693145
2005-03-30,0.012411416192876779
2005-03-31,-0.005604570115296026
2005-04-01,-0.013737333157861964
2005-04-04,0.007143264384483317
2005-04-05,0.002836494851804705
2005-04-06,0.0067187981210021785
2005-04-07,0.0038636716409063965
2005-04-08,-0.009097587112183225
2005-04-11,0.0021184367754565336
2005-04-12,0.013742430913682435
2005-04-13,-0.014598849467897024
2005-04-14,-0.011287279263195726
2005-04-15,-0.010702599956325498
2005-04-18,0.00829431205270037
2005-04-19,0.0014303895113294551
2005-04-20,-0.012500265755943651
2005-04-21,0.005786807681890993
2005-04-22,-0.0025168767792308477
2005-04-25,0.012616588264498407
2005-04-26,-0.00569559170137468
2005-04-27,0.013963457716730465
2005-04-28,-0.010946561232985763
2005-04-29,0.015352374222450615
2005-05-02,0.00246087058624167
2005-05-03,0.0010521593909864624
2005-05-04,0.019271548507497682
2005-05-05,-0.0044689223967425695
