Date,EFA
2005-01-04,-0.0191701570987608
2005-01-05,-0.0006406446801102694
2005-01-06,0.0
2005-01-07,-0.004488866216489584
2005-01-10,0.004509106994543988
2005-01-11,-0.00192377100249419
2005-01-12,0.008030522896111503
2005-01-13,-0.00860425593317482
2005-01-14,0.004821763479621044
2005-01-18,0.0007676379350880502
2005-01-19,-0.010356402769471473
2005-01-20,-0.006653927259983039
2005-01-21,0.003966981311808615
2005-01-24,0.0017488866539627779
2005-01-25,0.00032328992844110616
2005-01-26,0.012087745458329913
2005-01-27,0.0014691651712928078
2005-01-28,-0.002231999465764023
2005-01-31,0.004793823194255031
2005-02-01,0.006233895603001693
2005-02-02,0.0013908638994284406
2005-02-03,-0.005429275300367298
2005-02-04,0.005141753504142699
2005-02-07,-0.006314982767240518
2005-02-08,0.0
2005-02-09,-0.002542405792531288
2005-02-10,0.010385874388072258
2005-02-11,0.006936047499225051
2005-02-14,0.007765689458148373
2005-02-15,0.006711499011089472
2005-02-16,-0.008827045130968658
2005-02-17,0.0020551764348473167
2005-02-18,0.004971972236065048
2005-02-22,-0.0023502036082564404
2005-02-23,0.0004959418597345611
2005-02-24,0.0015489770140695303
2005-02-25,0.01162990045260126
2005-02-28,-0.002323904035717028
2005-03-01,0.005516813908908569
2005-03-02,-0.007497870155586339
2005-03-03,0.0004911798139131118
2005-03-04,0.017495690291948307
2005-03-07,-0.004223208829278735
2005-03-08,0.0027264614793724995
2005-03-09,-0.004531556835375872
2005-03-10,0.0032773545766950907
2005-03-11,-0.00024166630151445379
2005-03-14,-0.0032073083448370676
2005-03-15,-0.006192499514167782
2005-03-16,0.0011606490850131213
2005-03-17,-0.0011593035404198204
2005-03-18,-0.002016073136195229
2005-03-21,-0.006794213812493344
2005-03-22,-0.011462992390475768
2005-03-23,-0.006670981247908103
2005-03-24,-0.00018847371094343757
2005-03-28,0.0
2005-03-29,-0.010357546429529685
2005-03-30,0.008182754908024004
2005-03-31,-0.00044032344549893576
2005-04-01,-0.002329325726639353
2005-04-04,0.00031550330746132893
2005-04-05,0.005361533998195611
2005-04-06,0.0028227725836766915
2005-04-07,0.004066378456397013
2005-04-08,0.0
2005-04-11,0.003738077042786614
2005-04-12,0.002482835636293812
2005-04-13,-0.01052564150241364
2005-04-14,-0.013141887852260892
2005-04-15,-0.01223843838977734
2005-04-18,-0.0036590060447145856
2005-04-19,0.013273150228928277
2005-04-20,-0.012781557137297561
2005-04-21,0.018100093425499564
2005-04-22,-0.00354286239488244
2005-04-25,0.005269633834850573
2005-04-26,-0.012505647719347479
2005-04-27,-0.002686376233856369
2005-04-28,-0.013467456475663164
2005-04-29,0.016056607082726382
2005-05-02,-0.0003199441415484561
2005-05-03,0.0021760615519728077
2005-05-04,0.01187832696972868
2005-05-05,0.0014514684823230262
2005-05-06,-0.00434816037945851
2005-05-09,0.0022784781406015586
2005-05-10,-0.013893173902369327
2005-05-11,0.004482512736386779
2005-05-12,-0.012432130816702247
2005-05-13,-0.005810097297341166
2005-05-16,0.004025918993209254
2005-05-17,-0.00012940884021683807
2005-05-18,0.011319552525093979
2005-05-19,0.0007040408067469084
2005-05-20,-0.004218660220826953
2005-05-23,0.008279783249478978
2005-05-24,-0.0026099342038495843
2005-05-25,-0.0027446718625978583
2005-05-26,0.0006400930771270907
2005-05-27,0.004157474259304017
2005-05-31,-0.013057218001617632
2005-06-01,0.006066284502715957
2005-06-02,0.008531578620740277
2005-06-03,-0.009350154589222504
2005-06-06,0.006613545999051729
2005-06-07,0.005102697085449082
2005-06-08,-0.003680698965638163
2005-06-09,0.003948923692974615
2005-06-10,-0.0038067112362318856
2005-06-13,-0.0034388982602246987
2005-06-14,-0.0011504336515273383
2005-06-15,0.005950451375397625
2005-06-16,0.003243446260647209
2005-06-17,0.015024354848194532
2005-06-20,-0.009368221158730816
2005-06-21,0.007565835036525748
2005-06-22,-0.0030037666123582385
2005-06-23,-0.01129723922524084
2005-06-24,-0.00019016151685813387
2005-06-27,-0.0022858993305879816
2005-06-28,0.005727207929604683
2005-06-29,-0.004176221159524984
2005-06-30,-0.0013339979124897816
2005-07-01,-0.0013361799737592328
2005-07-05,0.001146715014073596
2005-07-06,-0.00267287045823128
2005-07-07,-0.00555141268254189
2005-07-08,0.013474839843446551
2005-07-11,0.007217206945756338
2005-07-12,0.010371611529775393
2005-07-13,-0.008025452437937841
2005-07-14,0.002822348371330552
2005-07-15,-0.002626931081127548
2005-07-18,-0.0028215549685320918
2005-07-19,0.0022636441157315446
2005-07-20,0.006775857852380662
2005-07-21,0.0020565882477274755
2005-07-22,-0.000932906112047327
2005-07-25,-0.0028011359825500515
2005-07-26,-0.0029961274040809505
2005-07-27,0.011457337348662389
2005-07-28,0.0068712750261794575
2005-07-29,-0.0047956776975695
2005-08-01,0.009822042931835862
2005-08-02,0.007157651193206993
2005-08-03,0.0074709366488432405
2005-08-04,-0.008139073441929323
2005-08-05,-0.0036473114958449626
2005-08-08,0.0023793766469275557
2005-08-09,0.012781174190320987
2005-08-10,0.006850232679775692
2005-08-11,0.016114368583283856
2005-08-12,-0.006167189931448158
2005-08-15,0.0017732452630812023
2005-08-16,-0.010796381549981304
2005-08-17,-0.0025049460040388327
2005-08-18,-0.010762200485176066
2005-08-19,0.004895041809439782
2005-08-22,0.011006908238569313
2005-08-23,-0.004283332088281355
2005-08-24,-0.01057531934091438
2005-08-25,0.0038042300095795234
2005-08-26,-0.0032483658387454373
2005-08-29,-0.0005432114010248679
2005-08-30,-0.0028984278056148893
2005-08-31,0.017986649537733435
2005-09-01,0.011958173238150627
2005-09-02,0.0035272329657822787
2005-09-06,0.01230241485433936
2005-09-07,-0.002777720153762764
2005-09-08,-0.007660220671190987
2005-09-09,0.013157905221573118
2005-09-12,-0.007792431718213644
2005-09-13,-0.006806272538822933
2005-09-14,0.000703064605326098
2005-09-15,0.0007023866052684458
2005-09-16,0.011230175061424097
2005-09-19,-0.006593907851160874
2005-09-20,-0.0036681910161634468
2005-09-21,0.001052131953039659
2005-09-22,-0.001051026134859856
2005-09-23,-0.0042077927837236295
2005-09-26,0.010915776840579428
2005-09-27,-0.0038314141275668234
2005-09-28,0.010314753603704485
2005-09-29,0.011939374501415134
2005-09-30,-0.006497650950836653
2005-10-03,-0.003442359629162728
2005-10-04,-0.006563160242063049
2005-10-05,-0.008692555955732262
2005-10-06,-0.004735366179306699
2005-10-07,0.003524495514714898
2005-10-10,-0.004916828935211615
2005-10-11,0.0012353887901939142
2005-10-12,-0.006697153878936102
2005-10-13,-0.002129466425801141
2005-10-14,0.009424225255514784
2005-10-17,-0.010040544363734027
2005-10-18,-0.01156608607665699
2005-10-19,0.008100856445797167
2005-10-20,-0.02285723519423133
2005-10-21,0.004386449943263537
2005-10-24,0.015647241727062777
2005-10-25,0.0010751902081456155
2005-10-26,-0.001789683882953752
2005-10-27,-0.0019719688909584088
2005-10-28,0.008622311129079963
2005-10-31,0.0017805180893855077
2005-11-01,0.008533656981648097
2005-11-02,0.01374937874026072
2005-11-03,-0.0005213718409753376
2005-11-04,-0.00922079288522093
2005-11-07,0.005794367410341339
2005-11-08,-0.0024440380908603565
2005-11-09,-0.0006997453914880936
2005-11-10,-0.0012264521073022117
2005-11-11,0.005260909860373975
2005-11-14,-0.005930742732026095
2005-11-15,-0.005439752068299386
2005-11-16,-0.0017639308684079813
2005-11-17,0.0171438095095775
2005-11-18,0.006950211430114761
2005-11-21,0.0013805925786229967
2005-11-22,0.0032743190468205174
2005-11-23,0.0048091536308485505
2005-11-25,-0.009572451902578494
2005-11-28,0.0025886577126248422
2005-11-29,-0.0015491602615522737
2005-11-30,-0.007758542275703384
2005-12-01,0.018765989757206114
2005-12-02,0.0037525808975207298
2005-12-05,0.00441808325787596
2005-12-06,0.0030449734708548615
2005-12-07,-0.0065776501792291775
2005-12-08,-0.0001701242381483281
2005-12-09,0.010018747701033393
2005-12-12,0.01260929249829812
2005-12-13,0.0048154949720209395
2005-12-14,-0.0004963644966490266
2005-12-15,-0.009257364981358318
2005-12-16,0.00784244270152401
2005-12-19,-0.0018215372455487877
2005-12-20,0.0001657384348474622
2005-12-21,0.004809558116054102
2005-12-22,0.005776505027628387
2005-12-23,-0.0005016583391382889
2005-12-27,-0.00919717324216729
2005-12-28,0.007257659354201307
2005-12-29,0.00033485791586640445
2005-12-30,-0.004522458594883427
2006-01-03,0.0334847860441867
2006-01-04,0.008303397770607068
2006-01-05,-0.005005549905950701
2006-01-06,0.013469503542309136
2006-01-09,0.00048072185615755103
2006-01-10,-0.008962977497413371
2006-01-11,0.00855920256369469
2006-01-12,-0.008166668991913317
2006-01-13,0.0038753362080385934
2006-01-17,-0.012544649629701143
2006-01-18,-0.013518102107000884
2006-01-19,0.011391855805097384
